Country,Year,Forest_Loss_Area_km2,Tree_Cover_Loss_percent,CO2_Emission_mt,Rainfall_mm,Population,GDP_Billion_USD,Agriculture_Land_Percent,Deforestation_Policy_Strictness,Corruption_Index,International_Aid_Million_USD,Illegal_Lumbering_Incidents,Protected_Areas_Percent
Brazil,2013,2816,7.586355968881709,130,1221.2093379129185,9986626,4211.902603723318,30.06708349870908,2,63.821200795102904,10,165,25.94317217045239
Indonesia,2022,1427,3.1993730407990175,21,2666.561757772445,90666068,3726.932330473156,14.123647575187878,1,59.64366425222973,181,191,15.000174506948792
Brazil,2011,4284,4.524014309749742,81,1777.150334743964,36674012,1800.7168491592913,20.556681093603963,4,43.90561467232165,269,24,12.460544586956647
Russia,2022,2412,9.766612692305046,489,1860.181286044628,2484008,248.94932556125784,23.242026793146692,2,72.87370006612086,383,41,8.435028554220661
Russia,2018,2293,5.561535675636915,220,2698.4679816377284,93635358,3260.5961729129554,19.101230504126878,4,25.31633573011125,490,165,6.005753365088735
Australia,2024,3395,3.3829334116900687,194,2568.41255302546,92708193,3176.6282830416094,10.569498923458061,2,96.36459426380787,411,84,17.056094190873843
Australia,2012,1172,2.8821166212802276,404,2649.726059988221,44594160,4674.77171587377,17.055296111059363,3,75.21746411623748,159,77,27.982104766066318
Australia,2017,780,6.437922385830584,323,2345.4611700999303,39372105,1389.9587718062116,17.917900576851842,3,21.6460960185217,171,95,20.88653584259471
Australia,2014,3910,3.7082996549493576,104,1952.4544906627,16129370,2562.7615530197077,38.1371716811482,3,19.080145158706852,101,157,24.135607458500846
India,2002,4739,6.849104151501941,96,2206.9566561299416,66035386,1502.4369535271837,30.973160639652843,1,12.160425371043992,87,9,7.972310945588655
Indonesia,2006,1793,5.695152859042764,226,1614.6949300134156,83721392,2227.382803283502,22.485780001404343,1,89.97408527222892,164,181,27.711203036824028
India,2000,1775,9.988430388814882,198,1582.6069762763093,12865008,2220.3174016478933,35.46485713870244,2,72.19907813403368,197,126,6.1279045836792925
Australia,2017,1890,5.135612446087959,39,1548.8010738416679,97736870,1632.9057007088895,41.40291236492919,3,22.24797656686168,467,53,16.93633650470902
Brazil,2010,1285,1.8809437497839512,201,2956.2096758737925,32972055,1462.6003197047899,23.399652520595453,3,41.48518387804706,197,3,11.986053672704386
Russia,2004,4991,9.853677972935026,39,1931.0857666371794,10394739,2796.1527667974,36.82217208295437,3,27.360231627917152,237,117,13.77081401572584
Indonesia,2003,908,4.21390912335368,98,1971.8909395831515,43362096,4063.006974252686,48.23397394489344,2,79.23134674887802,297,153,16.20842275815574
Russia,2021,1188,6.153397216083608,103,2219.1424279574735,53689755,2920.6237903630276,35.808861170399794,3,95.31137498031974,458,100,24.230969073161884
Australia,2023,2149,3.3824787231432407,68,1463.126830432517,39352925,3297.714393455118,55.666733960817645,2,23.78319181265367,285,23,5.1656321369922304
India,2001,4998,7.853728419074358,387,1882.5644387513398,5670525,2749.2575293584314,12.774555524315154,2,73.41632939257273,157,66,18.468036032019747
Indonesia,2013,4082,9.876989422333644,367,1669.1544370589681,93364335,2182.478454195582,48.710607973500466,2,72.86853228480669,275,25,17.31965411610147
Indonesia,2008,3650,4.409534873675303,287,1587.3370992604196,57565718,1765.0576923039866,44.59995591283642,3,47.54360107876329,231,74,21.086570351232385
Indonesia,2009,960,9.23269283224537,250,1638.2432622542524,60057645,547.8851805001118,52.333540819602156,2,37.635833514655936,355,52,10.200125959570501
Brazil,2005,2996,3.3829571050330953,429,2859.979529133847,80989376,4131.157057083033,49.27272112951907,4,31.853136374961643,218,143,20.101826892299286
Brazil,2011,4198,5.443809459519442,211,2495.471016397777,18127736,1349.4195147893713,38.04560786254507,4,66.28221136452535,39,104,23.200325338059738
India,2005,4554,8.702294177896093,132,1882.9653268822744,23967191,1740.777378950229,52.56219497295942,2,69.57874562942142,202,68,17.6754985578325
India,2007,1932,8.492380828296614,480,1665.7963391457904,96920582,974.1499020043019,37.83553957593927,3,11.654486524644113,201,187,25.49282463246877
Australia,2019,3774,7.022986545117201,48,2605.9586031909557,38968354,4234.67965796273,41.25725391088602,2,60.66807677618851,77,76,16.682136720054736
India,2013,2049,5.576672339148362,445,2247.6524488317627,12901777,4115.587618128593,45.521454686529644,4,83.01425603243202,253,147,20.172935261667405
Australia,2003,2765,8.806703880050474,282,1759.123479513416,40381232,3080.1144988890064,51.87561320087811,4,91.52397050247123,90,25,15.671480337010268
Indonesia,2012,2364,4.832304893025992,210,1892.8424024745627,10666266,1410.3720500959537,39.475402072386046,4,83.89294616932136,353,91,9.683016860462624
Russia,2008,1757,1.6246394685759231,200,2667.575121667509,50660190,4813.0746812477355,59.978596312137846,4,29.954229554253942,99,65,13.866731730622554
Indonesia,2000,4631,9.563114877602185,230,2917.194761186627,63648670,3181.506992650449,41.65253963207101,4,63.592050411643505,28,18,18.818608322363595
Australia,2010,2586,5.677515382792434,153,2160.299287071204,95394854,3566.4167583603194,38.424171627848665,4,8.67077342435415,203,32,21.981943496405492
Russia,2017,700,6.459667921279055,30,2855.0096992183617,83695762,1834.9344434745497,11.211742241698483,4,85.5844595863685,295,125,27.080922611257208
Australia,2016,4444,1.8377093015262849,461,2932.7708204519286,77047122,4390.614974638037,39.04828027252695,1,7.991611316624525,205,101,8.88868982746978
Brazil,2009,4971,5.876638311148905,435,1925.617756501706,22334711,1922.2442889131073,17.481300260400992,2,72.22307116440923,458,70,27.183930216432326
